"bin","age","income"
"20-29",25,34500000
"30-39",37,48000000
"10-19",19,26500000
"20-29",24,16000000
"60-69",67,21000000
"20-29",26,43500000
"50-59",56,49500000
"40-49",46,46000000
"50-59",57,52000000
"40-49",44,65500000
"80-",85,7000000
"80-",87,19500000
"30-39",38,54000000
"50-59",59,26000000
"30-39",33,45500000
"40-49",44,46000000
"30-39",39,43000000
"20-29",28,40000000
"20-29",28,67000000
"20-29",25,27500000
"40-49",42,24000000
"60-69",69,21000000
"50-59",58,21000000
"20-29",28,61000000
"50-59",56,24000000
"60-69",69,38000000
"40-49",42,58500000
"40-49",49,20000000
"60-69",60,14500000
"60-69",64,45000000
"20-29",24,17500000
"30-39",32,48000000
"20-29",24,18500000
"10-19",18,29500000
"20-29",24,16000000
"70-79",77,16500000
"40-49",49,43500000
"70-79",71,26500000
"60-69",63,29500000
"30-39",38,39500000
"20-29",29,33500000
"30-39",32,48500000
"30-39",38,38000000
"30-39",33,74000000
"20-29",23,21500000
"50-59",51,25000000
"20-29",28,36000000
"60-69",63,58000000
"20-29",24,14000000
"60-69",62,55000000
"20-29",27,28000000
"30-39",31,54500000
"40-49",41,52000000
"70-79",73,42000000
"30-39",38,41500000
"40-49",44,56000000
"30-39",33,32000000
"50-59",56,26000000
"50-59",51,44500000
"20-29",24,12500000
"20-29",28,40500000
"50-59",51,42000000
"50-59",57,51000000
"30-39",34,47500000
"30-39",38,31500000
"50-59",50,42000000
"80-",86,25500000
"30-39",36,47000000
"30-39",34,26000000
"20-29",25,59000000
"50-59",53,40000000
"50-59",55,31000000
"70-79",79,36000000
"40-49",40,39000000
"20-29",28,43000000
"30-39",37,37000000
"60-69",60,31500000
"60-69",63,55000000
"60-69",60,42000000
"70-79",70,21500000
"40-49",46,48500000
"20-29",24,15500000
"20-29",25,28500000
"40-49",40,46000000
"70-79",71,23500000
"60-69",69,34000000
"20-29",28,47500000
"50-59",54,36000000
"80-",81,19000000
"50-59",55,48000000
"30-39",32,36000000
"20-29",20,18000000
"20-29",25,42000000
"60-69",68,27500000
"30-39",36,59500000
"70-79",79,15000000
"50-59",51,46000000
"40-49",46,50500000
"70-79",72,14000000
"20-29",20,11000000
"10-19",19,7500000
"30-39",34,39000000
"50-59",58,43500000
"30-39",32,36000000
"20-29",29,52000000
"20-29",22,17500000
"40-49",43,34000000
"20-29",20,12000000
"80-",80,28500000
"40-49",42,27000000
"20-29",26,35000000
"70-79",77,37000000
"60-69",64,43000000
"50-59",50,46500000
"30-39",39,45000000
"70-79",73,27500000
"60-69",64,54500000
"20-29",25,49000000
"70-79",71,25500000
"50-59",51,27500000
"20-29",23,23500000
"20-29",25,57500000
"20-29",27,39500000
"70-79",71,33000000
"30-39",34,50000000
"80-",84,39000000
"50-59",58,41000000
"70-79",71,28000000
"40-49",45,46500000
"60-69",66,19000000
"40-49",41,45500000
"40-49",48,34500000
"70-79",79,25500000
"20-29",26,37500000
"20-29",24,16000000
"40-49",47,44000000
"40-49",45,29000000
"80-",85,26500000
"60-69",62,38000000
"30-39",36,51000000
"60-69",62,40000000
"20-29",21,12500000
"50-59",58,25500000
"30-39",38,38500000
"40-49",43,60500000
"30-39",32,30000000
"30-39",35,57000000
"40-49",48,39000000
"20-29",20,11000000
"30-39",32,48500000
"50-59",57,59500000
"20-29",29,40000000
"20-29",22,18500000
"70-79",74,11000000
"30-39",32,38000000
"60-69",62,38500000
"30-39",39,28000000
"20-29",28,49000000
"50-59",52,37500000
"10-19",19,15000000
"30-39",31,25000000
"30-39",39,48500000
"70-79",77,23000000
"50-59",51,51500000
"40-49",40,24500000
"20-29",25,36000000
"60-69",67,31000000
"30-39",36,71500000
"50-59",53,54500000
"20-29",25,35500000
"70-79",77,16500000
"50-59",50,21500000
"60-69",66,40500000
"40-49",48,40000000
"30-39",31,30500000
"50-59",56,56000000
"40-49",40,41500000
"40-49",40,24000000
"50-59",54,19500000
"40-49",43,25500000
"50-59",53,24000000
"20-29",26,45500000
"80-",82,24500000
"40-49",40,40500000
"20-29",28,40500000
"60-69",64,58000000
"50-59",55,35500000
"60-69",67,31500000
"20-29",26,42500000
"60-69",61,25000000
"60-69",61,41000000
"40-49",46,41000000
"70-79",77,28000000
"20-29",26,54500000
"20-29",22,19500000
"30-39",35,43000000
"30-39",30,27500000
"70-79",79,15500000
"10-19",19,21000000
"30-39",36,75500000
"40-49",44,58000000
"40-49",47,53000000
"10-19",19,17500000
"40-49",46,38500000
"20-29",23,11500000
"30-39",34,65000000
"30-39",38,35500000
"60-69",61,56500000
"60-69",69,28500000
"40-49",45,30500000
"20-29",22,11500000
"50-59",54,26500000
"50-59",53,45000000
"80-",81,20000000
"30-39",33,68000000
"70-79",77,34000000
"50-59",53,32000000
"20-29",29,34000000
"60-69",63,34000000
"40-49",49,39000000
"30-39",31,32500000
"40-49",47,32000000
"60-69",65,25000000
"40-49",40,42000000
"30-39",37,44500000
"10-19",18,7500000
"30-39",32,44000000
"30-39",30,52500000
"30-39",35,35000000
"70-79",77,32500000
"40-49",47,49500000
"20-29",28,39000000
"60-69",69,27000000
"30-39",36,64500000
"60-69",65,18500000
"20-29",21,13500000
"30-39",32,63000000
"30-39",31,30500000
"20-29",27,26000000
"10-19",18,9000000
"20-29",27,48000000
"30-39",39,61000000
"30-39",38,33000000
"50-59",51,27000000
"50-59",58,32000000
"80-",86,28500000
"30-39",36,66500000
"80-",81,28000000
"50-59",51,31000000
"30-39",35,46000000
"20-29",20,23500000
"50-59",51,38500000
"40-49",48,52500000
"30-39",31,43500000
"20-29",26,59500000
"60-69",68,20500000
"50-59",57,49000000
"50-59",53,43000000
"50-59",55,48000000
"50-59",54,49500000
"20-29",22,18500000
"50-59",52,38000000
"50-59",58,21000000
"50-59",57,52500000
"50-59",53,55500000
"20-29",24,18000000
"20-29",27,31000000
"20-29",27,48500000
"40-49",45,53500000
"80-",82,39000000
"40-49",46,31000000
"50-59",52,41500000
"30-39",30,26000000
"40-49",44,37500000
"20-29",24,17500000
"50-59",59,40000000
"70-79",73,23000000
"50-59",55,27500000
"40-49",46,48500000
"20-29",25,35500000
"20-29",25,14000000
"20-29",29,52500000
"20-29",25,51000000
"40-49",43,36500000
"30-39",36,55500000
"50-59",52,28000000
"30-39",37,54000000
"20-29",28,63000000
"20-29",20,6000000
"20-29",24,12000000
"10-19",18,22500000
"30-39",36,54000000
"20-29",29,56500000
"10-19",19,17500000
"30-39",34,33000000
"30-39",34,76500000
"50-59",50,34000000
"40-49",46,45500000
"30-39",39,27000000
"50-59",52,25000000
"20-29",21,26500000
"80-",87,34500000
"30-39",32,42000000
"20-29",20,16000000
"30-39",38,46000000
"30-39",33,21000000
"30-39",35,67000000
"30-39",39,39000000
"20-29",24,15000000
"70-79",76,29500000
"50-59",53,53000000
"30-39",36,73500000
"60-69",60,34000000
"40-49",48,32500000
"50-59",56,54500000
"20-29",25,25500000
"30-39",33,47000000
"70-79",76,39000000
"20-29",23,16500000
"10-19",18,24000000
"40-49",42,35000000
"20-29",22,14000000
"20-29",21,20000000
"20-29",27,48000000
"40-49",47,43500000
"40-49",49,45000000
"50-59",59,50500000
"30-39",30,49000000
"40-49",49,43000000
"20-29",28,27000000
"60-69",60,54000000
"20-29",24,17000000
"20-29",25,54500000
"60-69",63,47000000
"30-39",35,35000000
"40-49",47,42000000
"40-49",44,28000000
"20-29",22,22000000
"20-29",24,11500000
"20-29",28,35000000
"40-49",49,26500000
"40-49",42,30000000
"50-59",56,30000000
"40-49",44,31500000
"20-29",28,39000000
"20-29",27,37000000
"30-39",31,54000000
"60-69",62,47500000
"30-39",31,47500000
"50-59",55,37000000
"50-59",53,36500000
"80-",89,23500000
"20-29",29,52500000
"30-39",36,35500000
"30-39",31,11500000
"20-29",27,66000000
"80-",87,28500000
"40-49",43,56000000
"80-",82,33500000
"20-29",24,23500000
"20-29",23,9500000
"30-39",35,21000000
"50-59",50,17000000
"40-49",46,32500000
"50-59",58,34000000
"50-59",50,23500000
"50-59",52,31000000
"30-39",38,48000000
"20-29",23,25000000
"50-59",52,48500000
"70-79",70,23000000
"70-79",74,13000000
"10-19",19,22000000
"40-49",49,45500000
"20-29",24,14500000
"40-49",44,58500000
"60-69",64,21000000
"60-69",68,38000000
"20-29",29,45000000
"20-29",21,22500000
"40-49",47,39000000
"50-59",58,32500000
"20-29",25,13000000
"70-79",74,34500000
"20-29",21,6500000
"70-79",72,15500000
"20-29",28,53000000
"20-29",24,24000000
"60-69",63,25500000
"50-59",54,27500000
"20-29",29,45000000
"20-29",23,18000000
"30-39",32,47500000
"30-39",33,66000000
"10-19",18,28500000
"70-79",71,39000000
"20-29",25,35000000
"60-69",64,29000000
"50-59",53,46500000
"40-49",43,37000000
"10-19",19,22000000
"50-59",53,27500000
"30-39",31,70500000
"70-79",73,18500000
"20-29",24,11000000
"20-29",28,42500000
"20-29",23,18000000
"40-49",49,35000000
"30-39",34,47000000
"80-",85,29500000
"30-39",34,40500000
"20-29",22,16000000
"30-39",35,65500000
"20-29",25,57000000
"20-29",28,51500000
"30-39",39,37500000
"10-19",18,9000000
"70-79",74,22500000
"40-49",47,41500000
"50-59",54,31500000
"20-29",26,57000000
"50-59",55,50500000
"30-39",34,40500000
"40-49",45,63000000
"70-79",72,27000000
"20-29",28,52500000
"20-29",21,15500000
"60-69",61,33000000
"30-39",38,45500000
"20-29",23,18000000
"40-49",44,32000000
"50-59",53,47000000
"30-39",32,31000000
"10-19",18,13000000
"20-29",22,16000000
"60-69",67,23000000
"70-79",74,34000000
"30-39",33,47000000
"30-39",36,24000000
"60-69",69,19500000
"20-29",28,9000000
"60-69",69,29000000
"50-59",57,68000000
"40-49",41,42500000
"70-79",74,38000000
"20-29",26,38500000
"30-39",34,39500000
"20-29",20,12500000
"20-29",23,12000000
"50-59",59,31500000
"40-49",42,56000000
"70-79",71,19500000
"40-49",47,29500000
"20-29",26,67500000
"30-39",33,42500000
"20-29",23,25000000
"20-29",26,63500000
"20-29",27,32500000
"30-39",38,49500000
"30-39",34,41000000
"30-39",30,54000000
"70-79",75,26000000
"20-29",24,18000000
"30-39",36,51500000
"30-39",36,65500000
"40-49",48,38000000
"10-19",18,14000000
"30-39",32,55000000
"40-49",45,46500000
"80-",85,14500000
"20-29",22,31000000
"50-59",55,36500000
"80-",82,31500000
"20-29",29,45000000
"80-",87,27000000
"40-49",46,48000000
"20-29",29,24500000
"40-49",41,24500000
"20-29",20,16500000
"40-49",43,67000000
"10-19",18,15000000
"20-29",24,7000000
"30-39",38,73000000
"60-69",69,27000000
"20-29",23,28000000
"10-19",19,18000000
"70-79",73,22500000
"20-29",26,53500000
"40-49",46,48500000
"20-29",29,40500000
"60-69",65,35500000
"30-39",39,45000000
"10-19",19,14000000
"20-29",24,15000000
"70-79",71,36500000
"60-69",66,36000000
"50-59",57,41500000
"40-49",48,50500000
"20-29",21,15500000
"20-29",25,54500000
"20-29",20,18000000
"50-59",57,20000000
"20-29",20,15000000
"50-59",50,43500000
"30-39",33,52000000
"30-39",35,68500000
"20-29",20,19000000
"20-29",22,26500000
"50-59",58,47000000
"20-29",26,38000000
"20-29",22,32500000
"50-59",55,43500000
"30-39",37,33500000
"30-39",38,55500000
"20-29",20,21000000
"80-",86,24500000
"20-29",29,37500000
"20-29",22,19000000
"30-39",30,44500000
"60-69",60,20500000
"20-29",24,26500000
"60-69",60,34000000
"40-49",44,49000000
"30-39",34,31000000
"40-49",43,57500000
"70-79",72,42500000
"30-39",31,48500000
"20-29",22,23000000
"70-79",71,16500000
"30-39",30,51000000
"20-29",20,22000000
"70-79",75,37500000
"60-69",60,51000000
"60-69",63,35000000
"40-49",44,67000000
"30-39",31,76500000
"30-39",34,35000000
"80-",86,22000000
"80-",81,21000000
"40-49",45,35500000
"30-39",33,63000000
"30-39",30,53000000
"50-59",50,42500000
"30-39",33,34000000
"20-29",22,14500000
"80-",81,26000000
"60-69",67,28000000
"40-49",46,26000000
"20-29",29,44500000
"20-29",28,64500000
"20-29",20,25500000
"60-69",63,58000000
"20-29",23,17500000
"30-39",37,27000000
"30-39",30,36500000
"30-39",37,74500000
"30-39",39,34500000
"20-29",28,38000000
"60-69",65,24500000
"70-79",79,37500000
"70-79",78,46000000
"40-49",43,44500000
"40-49",44,44000000
"20-29",27,35500000
"30-39",39,22000000
"60-69",65,35500000
"30-39",31,29000000
"40-49",40,44500000
"50-59",57,38500000
"20-29",24,17000000
"50-59",54,24000000
"20-29",25,58000000
"50-59",57,18500000
"50-59",51,53500000
"30-39",30,37500000
"60-69",68,9000000
"20-29",29,17000000
"40-49",48,33500000
"60-69",66,38500000
"30-39",39,45000000
"30-39",33,22000000
"60-69",69,10500000
"50-59",51,26500000
"60-69",64,22000000
"40-49",40,36500000
"60-69",64,16500000
"20-29",20,22000000
"50-59",57,38500000
"20-29",22,24500000
"50-59",55,55500000
"60-69",68,28000000
"30-39",34,45500000
"50-59",56,41500000
"20-29",25,22500000
"30-39",30,58000000
"50-59",55,51500000
"10-19",19,17500000
"20-29",29,42000000
"20-29",28,37000000
"50-59",55,38000000
"50-59",56,38000000
"30-39",36,42500000
"40-49",40,55000000
"30-39",39,67000000
"40-49",47,29500000
"20-29",28,44500000
"30-39",35,44000000
"50-59",53,29000000
"20-29",20,15000000
"30-39",36,23500000
"20-29",25,38000000
"20-29",23,19500000
"70-79",73,22000000
"70-79",76,17000000
"70-79",79,33500000
"20-29",27,45500000
"60-69",62,43000000
"70-79",78,16000000
"20-29",20,20000000
"20-29",27,45000000
"50-59",55,44500000
"30-39",31,51000000
"40-49",47,39500000
"40-49",44,33000000
"30-39",38,55500000
"40-49",40,32500000
"20-29",23,24000000
"20-29",25,44000000
"30-39",32,39000000
"30-39",30,48500000
"40-49",40,46000000
"50-59",57,39000000
"30-39",35,18000000
"60-69",65,32500000
"40-49",41,51500000
"30-39",32,74500000
"30-39",33,53000000
"50-59",53,32500000
"60-69",62,26500000
"40-49",42,43000000
"20-29",20,21500000
"40-49",41,49500000
"30-39",38,30500000
"30-39",38,57500000
"70-79",78,24000000
"40-49",48,36000000
"20-29",22,3500000
"70-79",70,24500000
"30-39",39,42000000
"20-29",21,13500000
"80-",84,40500000
"30-39",38,38000000
"80-",81,21500000
"20-29",29,41000000
"50-59",53,38000000
"20-29",26,58500000
"50-59",57,45500000
"20-29",25,36000000
"30-39",36,63000000
"40-49",49,35500000
"70-79",78,33500000
"80-",82,28500000
"20-29",25,53500000
"50-59",51,9500000
"60-69",69,33500000
"50-59",53,39500000
"30-39",34,48500000
"60-69",62,46000000
"30-39",35,55000000
"30-39",33,61000000
"40-49",46,25500000
"60-69",65,21500000
"20-29",26,29500000
"20-29",21,3000000
"60-69",61,36000000
"20-29",20,17000000
"30-39",31,35000000
"40-49",48,33500000
"50-59",51,30000000
"30-39",39,15500000
"50-59",54,25500000
"30-39",39,15000000
"30-39",38,54000000
"50-59",52,42000000
"40-49",44,66000000
"20-29",22,15500000
"60-69",61,48500000
"40-49",44,42000000
"30-39",38,60000000
"20-29",28,44500000
"20-29",23,18500000
"50-59",56,57500000
"20-29",28,10000000
"20-29",27,56000000
"30-39",35,75500000
"20-29",20,19000000
"20-29",23,26000000
"20-29",20,13000000
"30-39",35,28000000
"20-29",26,46500000
"30-39",33,16000000
"50-59",59,20000000
"30-39",35,53500000
"20-29",24,19500000
"60-69",69,17500000
"80-",89,30000000
"30-39",31,59000000
"40-49",48,51000000
"20-29",29,52000000
"50-59",51,47000000
"80-",85,22000000
"20-29",28,29500000
"40-49",45,41500000
"30-39",36,43500000
"20-29",20,12500000
"20-29",26,57000000
"40-49",47,21500000
"20-29",20,26500000
"20-29",28,40000000
"20-29",21,17000000
"30-39",37,24500000
"50-59",59,31500000
"30-39",31,77000000
"40-49",44,79000000
"10-19",19,12500000
"20-29",20,17500000
"60-69",63,47500000
"30-39",34,22500000
"30-39",39,61000000
"30-39",33,32000000
"30-39",39,10000000
"70-79",76,9500000
"20-29",25,49500000
"30-39",39,20000000
"50-59",59,21500000
"30-39",38,26000000
"30-39",31,32000000
"50-59",52,39500000
"60-69",66,24000000
"60-69",63,38500000
"60-69",67,12000000
"30-39",37,22500000
"20-29",25,30500000
"60-69",64,33000000
"30-39",39,32500000
"40-49",41,35500000
"60-69",60,31500000
"50-59",52,55500000
"20-29",26,33500000
"30-39",33,44000000
"20-29",20,18500000
"30-39",31,12500000
"50-59",57,31000000
"40-49",47,37500000
"50-59",59,39000000
"30-39",34,19500000
"10-19",18,7500000
"20-29",27,53500000
"30-39",34,24500000
"70-79",78,31000000
"30-39",35,44500000
"20-29",25,46000000
"50-59",53,37000000
"70-79",77,42500000
"60-69",66,33000000
"50-59",52,29500000
"40-49",43,51000000
"70-79",71,37500000
"20-29",26,33500000
"40-49",47,36500000
"60-69",60,42000000
"60-69",60,28000000
"20-29",28,44500000
"60-69",64,48000000
"30-39",36,50000000
"70-79",74,28500000
"40-49",40,23000000
"20-29",21,15000000
"50-59",59,39000000
"20-29",27,48000000
"40-49",48,34500000
"40-49",44,36500000
"10-19",19,12500000
"50-59",55,36000000
"40-49",41,40500000
"20-29",23,11500000
"40-49",49,47500000
"30-39",36,37000000
"30-39",38,51000000
"60-69",66,35000000
"40-49",48,36000000
"40-49",48,34500000
"40-49",41,46500000
"20-29",24,16000000
"30-39",39,59500000
"20-29",25,57500000
"40-49",40,43500000
"50-59",50,46500000
"30-39",34,18000000
"40-49",42,51500000
"20-29",27,69000000
"20-29",27,27000000
"20-29",26,21000000
"20-29",21,23500000
"30-39",35,38000000
"10-19",19,14500000
"20-29",23,14500000
"70-79",72,32000000
"20-29",26,24000000
"40-49",47,46000000
"50-59",58,26000000
"70-79",78,22000000
"50-59",50,15000000
"30-39",37,37500000
"50-59",50,37500000
"50-59",58,42500000
"20-29",21,21000000
"20-29",24,20500000
"60-69",62,34500000
"40-49",49,39500000
"30-39",35,23000000
"30-39",34,58500000
"50-59",54,37000000
"30-39",30,39500000
"60-69",62,50500000
"20-29",22,31500000
"20-29",26,52500000
"20-29",26,69500000
"40-49",45,38000000
"30-39",33,14500000
"20-29",27,66000000
"40-49",45,48500000
"50-59",59,54500000
"20-29",23,16500000
"50-59",52,57000000
"40-49",45,35500000
"70-79",70,28500000
"60-69",61,8500000
"20-29",21,16000000
"30-39",34,49500000
"40-49",49,33000000
"30-39",32,37000000
"20-29",25,43000000
"30-39",37,37000000
"20-29",24,17000000
"30-39",30,26500000
"40-49",42,50500000
"20-29",27,54500000
"20-29",23,22000000
"60-69",65,33000000
"50-59",58,57500000
"40-49",48,49000000
"30-39",32,50500000
"70-79",73,24000000
"20-29",28,34000000
"20-29",25,47000000
"80-",81,36000000
"80-",87,27500000
"30-39",33,71000000
"50-59",53,20000000
"20-29",24,16500000
"60-69",65,30500000
"60-69",66,28000000
"20-29",28,49500000
"30-39",30,35500000
"50-59",55,50000000
"30-39",32,58500000
"20-29",24,19000000
"30-39",35,42000000
"30-39",33,44500000
"20-29",27,56500000
"30-39",35,43000000
"40-49",49,37500000
"50-59",50,32000000
"40-49",49,46000000
"20-29",20,14500000
"20-29",29,34000000
"20-29",24,11000000
"20-29",27,57000000
"20-29",22,17500000
"20-29",25,62000000
"40-49",41,32000000
"60-69",67,29500000
"30-39",33,74500000
"40-49",49,12500000
"40-49",46,24500000
"30-39",30,36000000
"70-79",75,28500000
"70-79",79,32000000
"30-39",34,48500000
"30-39",34,42500000
"70-79",76,30000000
"20-29",23,15000000
"80-",84,33500000
"30-39",31,37000000
"30-39",36,59000000
"20-29",22,21500000
"50-59",59,45000000
"80-",85,18500000
"20-29",23,13000000
"10-19",19,21500000
"50-59",50,46500000
"80-",86,36000000
"40-49",48,50000000
"20-29",29,58500000
"30-39",30,57000000
"60-69",68,34500000
"10-19",18,24000000
"60-69",60,45000000
"40-49",45,28000000
"80-",85,36000000
"40-49",46,48500000
"40-49",45,52500000
"30-39",38,25500000
"20-29",26,65500000
"60-69",60,51000000
"30-39",35,53000000
"30-39",33,32500000
"50-59",57,44000000
"80-",85,32500000
"20-29",20,22000000
"50-59",58,35500000
"60-69",69,16500000
"60-69",64,20500000
"60-69",61,49500000
"20-29",24,17500000
"20-29",20,17000000
"20-29",28,35000000
"40-49",47,44000000
"10-19",18,22500000
"60-69",64,56000000
"40-49",40,45500000
"40-49",48,58000000
"60-69",62,18000000
"30-39",34,46000000
"20-29",26,49000000
"20-29",26,30500000
"20-29",21,17000000
"60-69",60,44000000
"20-29",21,15000000
"20-29",21,13000000
"20-29",20,20500000
"50-59",59,28500000
"20-29",22,21000000
"20-29",29,46500000
"50-59",50,13000000
"30-39",38,61500000
"40-49",40,31500000
"20-29",27,63500000
"70-79",72,22000000
"40-49",42,36500000
"30-39",31,30500000
"30-39",39,62000000
"40-49",49,37000000
"30-39",37,47500000
"50-59",58,30500000
"20-29",25,44500000
"30-39",35,50500000
"40-49",42,45500000
"40-49",49,40500000
"50-59",56,48000000
"60-69",67,33000000
"20-29",29,40000000
"20-29",23,7500000
"30-39",34,36000000
"30-39",38,38000000
"20-29",29,80500000
"80-",84,19000000
"60-69",68,29000000
"50-59",58,46000000
"60-69",67,47500000
"20-29",22,12000000
"60-69",66,22500000
"20-29",24,8500000
"40-49",43,53500000
"40-49",41,47000000
"60-69",65,23000000
"40-49",43,26500000
"50-59",58,32000000
"30-39",30,48500000
"60-69",63,44500000
"20-29",20,15500000
"50-59",51,29500000
"30-39",34,25500000
"20-29",24,11500000
"50-59",55,43500000
"30-39",38,35000000
"60-69",63,42500000
"50-59",54,37500000
"70-79",72,10000000
"60-69",60,36500000
"30-39",34,31000000
"60-69",65,23500000
"20-29",29,54500000
"20-29",22,21000000
"80-",83,22500000
"30-39",31,45500000
"50-59",55,37000000
"30-39",31,53000000
"60-69",67,23500000
"20-29",23,25500000
"30-39",36,36000000
"10-19",18,11500000
"30-39",35,49000000
"50-59",59,47500000
"30-39",39,37000000
"50-59",51,22500000
"50-59",53,49000000
"40-49",44,17000000
"30-39",32,63500000
"40-49",43,53000000
"10-19",19,17000000
"60-69",63,31500000
"40-49",48,28000000
"40-49",41,57500000
"60-69",63,34500000
"50-59",50,26000000
"30-39",35,46000000
"30-39",37,41500000
"20-29",24,21500000
"70-79",78,24500000
"30-39",34,43000000
"40-49",49,37500000
"20-29",27,74000000
"40-49",46,31500000
"40-49",45,32000000
"70-79",73,18000000
"30-39",36,22500000
"10-19",18,19000000
"10-19",18,15500000
"20-29",21,17000000
"20-29",25,32500000
"30-39",35,43000000
"70-79",78,14000000
"20-29",25,44500000
"30-39",38,49000000
"20-29",28,19500000
"20-29",25,55000000
"20-29",26,65000000
"60-69",62,33500000
"30-39",32,31500000
"30-39",38,53500000
"30-39",38,47000000
"70-79",74,30500000
"40-49",44,48000000
"60-69",69,28500000
"50-59",57,37000000
"30-39",32,38000000
"60-69",62,16000000
"20-29",21,27000000
"60-69",61,58000000
"20-29",28,45000000
"70-79",70,23500000
"20-29",24,12000000
"20-29",29,65000000
"20-29",20,9000000
"30-39",31,47000000
"40-49",44,48500000
"20-29",27,36000000
"70-79",79,34000000
"50-59",50,24500000
"30-39",32,74500000
"50-59",59,31000000
"60-69",66,28000000
"30-39",33,22500000
"30-39",32,37000000
"40-49",46,55000000
"10-19",18,8500000
"30-39",38,61000000
"60-69",67,27500000
"50-59",57,38000000
"10-19",18,20000000
"20-29",28,22500000
"50-59",59,20000000
"10-19",19,21500000
"30-39",31,41000000
"20-29",25,38500000
"70-79",73,13500000
"40-49",47,26500000
"20-29",20,22000000
"40-49",45,61000000
"20-29",21,18000000
"30-39",33,47000000
"50-59",51,22500000
"30-39",31,38000000
"20-29",26,50500000
"50-59",50,46000000
"30-39",34,62500000
"60-69",66,23000000
"20-29",28,51000000
"20-29",23,10500000
"20-29",24,26000000
"70-79",76,25500000
"40-49",43,50000000
"20-29",29,54500000
"40-49",42,43000000
"20-29",23,27000000
"50-59",56,29500000
"60-69",62,63000000
"20-29",21,23500000
"30-39",37,57000000
"60-69",62,37500000
"20-29",29,43000000
"40-49",41,49500000
"20-29",27,48000000
"60-69",63,56000000
"20-29",20,13500000
"40-49",41,22000000
"20-29",23,15000000
"60-69",66,6500000
"20-29",28,33500000
"30-39",37,43000000
"30-39",33,39500000
"10-19",18,11500000
"30-39",33,49000000
"30-39",32,40000000
"20-29",29,34000000
"40-49",44,34500000
"40-49",41,53000000
"80-",87,16000000
"20-29",25,56000000
"20-29",23,14000000
"30-39",39,41500000
"20-29",29,49500000
"20-29",25,25500000
"30-39",30,43000000
"70-79",79,16000000
"80-",87,24500000
"30-39",33,52000000
"20-29",24,19500000
"50-59",51,23000000
"30-39",32,30000000
"30-39",34,39500000
"60-69",64,49000000
"20-29",26,29500000
"60-69",61,47000000
"20-29",21,10500000
"40-49",45,31500000
"20-29",27,53500000
"70-79",71,29000000
"30-39",34,48000000
"50-59",56,54000000
"20-29",29,54000000
"40-49",40,34000000
"60-69",62,42000000
"80-",89,18500000
"20-29",24,11000000
"20-29",22,21500000
"20-29",24,15500000
"60-69",69,19000000
"40-49",49,32500000
"10-19",19,21500000
"20-29",28,30000000
"40-49",47,56000000
"20-29",28,41500000
"30-39",34,55000000
"60-69",63,29500000
"60-69",69,36000000
"70-79",74,23500000
"30-39",32,48000000
"70-79",74,31500000
"40-49",47,44500000
"30-39",36,64000000
"30-39",34,48500000
"40-49",42,9500000
"40-49",49,27500000
"20-29",28,46500000
"30-39",32,40000000
"60-69",63,36000000
"50-59",52,34000000
"20-29",24,11000000
"30-39",36,56000000
"20-29",25,21500000
"30-39",37,40500000
"30-39",39,35000000
"40-49",40,60500000
"50-59",58,45500000
"20-29",26,21500000
"70-79",78,22000000
"20-29",22,13500000
"20-29",28,34500000
"60-69",64,29500000
"40-49",41,43500000
"80-",85,37500000
"70-79",73,16000000
"20-29",22,14000000
"20-29",21,13000000
"40-49",41,35500000
"30-39",31,41500000
"70-79",78,27500000
"40-49",48,60000000
"10-19",19,24000000
"40-49",48,37000000
"30-39",37,38000000
"50-59",57,41000000
"60-69",60,62500000
"50-59",52,39500000
"60-69",67,39500000
"20-29",23,32000000
"50-59",51,31500000
"30-39",38,56500000
"40-49",47,36500000
"30-39",35,51000000
"60-69",64,53500000
"30-39",33,69500000
"50-59",54,34000000
"20-29",24,24500000
"70-79",71,30500000
"40-49",44,20000000
"20-29",26,34500000
"50-59",50,41000000
"20-29",24,31000000
"20-29",26,21500000
"40-49",44,54500000
"20-29",28,37500000
"40-49",44,54000000
"80-",82,22000000
"30-39",38,53500000
"20-29",22,15500000
"50-59",51,54000000
"20-29",27,30500000
"10-19",18,24000000
"30-39",31,30500000
"20-29",29,37000000
"20-29",28,38000000
"20-29",25,57500000
"80-",82,16000000
"20-29",28,21000000
"70-79",71,24000000
"50-59",54,40000000
"30-39",36,45500000
"30-39",31,57000000
"70-79",77,23000000
"40-49",45,42000000
"60-69",69,29500000
"40-49",47,39500000
"30-39",37,28500000
"70-79",78,19000000
"20-29",24,19500000
"30-39",30,43500000
"50-59",54,46500000
"20-29",25,24000000
"40-49",43,61000000
"30-39",39,43000000
"50-59",59,31000000
"60-69",61,49500000
"30-39",30,54500000
"30-39",38,73500000
"30-39",31,48500000
"30-39",34,56000000
"20-29",20,14500000
"30-39",30,75000000
"70-79",73,27500000
"20-29",22,22500000
"40-49",40,38000000
"10-19",18,14500000
"10-19",18,17000000
"50-59",50,39000000
"30-39",36,50000000
"50-59",55,18000000
"20-29",29,64000000
"40-49",41,48500000
"20-29",25,63500000
"30-39",35,38500000
"20-29",28,31000000
"30-39",37,40500000
"30-39",34,56500000
"20-29",28,46000000
"40-49",41,29500000
"30-39",38,52000000
"20-29",21,17000000
"50-59",59,29500000
"20-29",21,16000000
"30-39",38,47000000
"10-19",18,19000000
